,Random Ingredients,Recipe Title,Ingredient Phrases,Recipe Instructions,Recipe Titile
31,"cornflour,red salmon,pork loin chop,quinoa",," 1 tablespoon cornflour | 2 teaspoons red pepper flakes, or to taste | 1 lb ground pork loin chops, cut into 1/2-inches cubes | 4 cups shredded cabbage | 3/4 cup chopped red salmon | 1 can diced cooked quinoa "," preheat the oven to 400 degrees f 200 degrees c.  place the cornflake mixture into a large bowl.  stir together the red pepper flakes, crumbled pork, cabbage, salmon, and the cornflake mixture with the pork mixture.  mix thoroughly.  place 13 of the quinoa into a 2quart baking dish.  pour the broth over it and cover with plastic wrap.  let stand 30 minutes.  uncover, and cook 45 minutes more, until the quinoa is tender, and sauce is bubbly.  pour the remaining soup into the baking dish and cover with a lid.  let stand 15 minutes.  transfer to the refrigerator to cool, and refrigerate at least 2 hours.  to serve, pour the chilled soup over the cabbage and salmon.  let stand 15 minutes before serving. 


",Cabbage Soup
32,"ginger juice,wide egg noodle,red cabbage,vanilla extract,spaghetti,cranberry juice,cumin powder",," 1 1/4 cups frozen wide egg noodles | 3 cloves crushed red onions ( reserve 1 1/4 cups ) | 1 cup fresh ginger juice | 3/4 cup red cabbage, finely shredded | 1/2 cup bok choy, cooked and chopped | 2 tablespoons dried cranberries and juice or 2 tablespoons fresh lime juice | 1/2 cup red onion, finely chopped | 1/2 teaspoon ground cumin powder | 1/4 teaspoon vanilla extract | 1/4 teaspoon salt and pepper, to taste "," in large saucepan, combine noodles, onion, ginger, cabbage, bok choy, cranberries juice, and onion.  bring to boiling ; reduce heat and simmer until cooked through, about 15 minutes.  spoon noodles into a 9x13 inch baking dish.  spoon remaining 1 cup of the reserved noodle mixture over noodles.  cover with remaining noodles and cranberries sauce.  bake, uncovered, at 400 for about 15 minutes or until noodles are lightly browned and bubbling.  let stand 5 minutes before cutting.  slice into thin slices.  serve at once with fresh coriander tea or garnish with mint sprigs. 


",Frozen Bok Choy Skillet
33,"vanilla,lard,melon liqueur,coleslaw mix,asparagus,heirloom tomato,breadcrumb",," 6 ounces asparagus, cut and trimmed of fat ( the kind trimmed of thick and white part, cut long and thin ) | 2 tablespoons milk | 1 tablespoon lard | 1 tablespoon coleslaw mix | 24 ounces sliced ripe melon or 24 ounces ripe grape tomatoes | 1 large heirloom tomato | melon liqueur | chopped fresh mint ( optional ) "," place asparagus, milk, and lard in a large bowl and season with coleslaw mix.  heat 1 tablespoon of lard and pour over the asparagus in the bowl, toss to crumble and set aside.  place tomatoes and sliced melon in a small microwave safe bowl and combine in microwave safe bowl for 8 to 10 seconds, then remove from microwave and pour in the drained asparagus.  sprinkle on the chopped mint if you would prefer a touch of fresh mint to make your salad a little crisp.  serve immediately while still hot. 


",Italian-Style Asparagus Salad
34,"mayonnaise,cream cheese",," 4 slices low-fat cream cheese, softened | 1/2 cup mayonnaise | 1 dash hot pepper flakes, to taste | 2/3 cup ham, thinly sliced "," preheat oven to 400 degrees f 200 degrees c.  lightly grease and flour a 13x9x2inch baking pan.  set aside.  in a mixing bowl, combine the cream cheese, mayonnaise, hot pepper flakes, and ham.  toss until the cheese sauce is smooth and combined.  set aside.  place one slice of ham on top of the cream cheese mixture.  spread 1 teaspoon of the ham mixture atop the cream cheese mixture.  spread the remaining ham mixture down the middle of the sandwich.  top with a thin slice of the ham.  bake until lightly browned, about 8 minutes. 


",Low-Fat French Toast
35,"habanero pepper,japanese sushi rice",," 1 cup rice paper shredder | 1/3/4 lb japanese sushi rice | 1/2/3 cup green onion, chopped | 1/8 teaspoon minced garlic | 1 1/2 ounces black beans, rinsed and drained | 1 large white onion ( or 1 clove of minced garlic cloves ) | 1 medium red pepper | 1 habanero pepper, thinly sliced ( seeded, stems only ) | 1 large green bell pepper, thinly sliced ( seeded, stems only ) | 4 tablespoons sherry | 3 teaspoons white wine | 2 tablespoons sugar ( can use red, orange, and yellow ) | 2 tablespoons low sodium soy sauce | 1/3 cup red chili pepper ( optional ) "," in a small bowl, mix together the rice paper shredding, green onion, garlic, beans, white onion, red pepper, habanero, green bell pepper, sherry, and white wine.  whisk gently in soy sauce, soy sauce mixture, chilis and sugar.  chill in the refrigerator for 24 hours.  in a small bowl, mix together the reserved 1 tablespoon of soy sauce.  stir well and add the cooked rice paper shredding mixture.  serve hot. 


",Habanero Sushi
36,"cashew,sea salt,cocoa",," 1 1/4 cups packed brown sugar | 2 large coriander leaves, chopped | 1 cup sugar | 1 teaspoon salt | 6 teaspoons minced garlic cloves | 2 teaspoons turmeric | 1 cup dry sherry, divided | 4 cups water | 1/2 teaspoon ground cumin | 1 cup cashews, coarsely chopped | 1/4 teaspoon cinnamon "," place the brown sugar, coriander leaves, sugar, turmeric  1 tsp salt in a large saucepan and simmer 3 minutes, or until the sugar dissolves.  let cool slightly, then transfer with slotted spoon to a large bowl.  in a small bowl, mix together the remaining 3 - 12 tablespoons brown sugar, 2 ts water, and 12 tsp cumin.  whisk in the cashews, cinnamon, 14 tsp salt, and 14 tsp cumin over medium heat, stirring until combined.  add the cashews, bring to a full boil, reduce heat to low, cover, and simmer uncovered, stirring occasionally, 1015 minutes or until the nuts are lightly browned but are not completely broken.  remove from heat, and let cool completely.  remove the husked cloves,  seeds, cloves,  seeds from the cashews, leaving the whole head whole.  combine the reserved 13 cup brown sugar, remaining 12 teaspoon salt  12 teaspoons cumin in a large bowl.  add nuts.  if preferred, mix the cashew mixture into the nuts,  spices, and cinnamon in a smaller bowl.  pour the warm mixture over the cashew mixture ; allow to cool completely.  to serve, top with cashewcovered  cinnamon sticks with a generous  of the reserved cumin.  garnish with additional cilantro leaves and a spoonful of  the reserved cumin.  serve hot or warm. 


",Chili-Spiced Cashews
37,"yellow bell pepper,red wine,sauce,tostada",, 4 ounces hot sauce ( i like lawry's ) | 1/2 ounce tabasco sauce | 2 red bell peppers | 16 ounces yellow-bell pepper ," mix all ingredients together.  sauce should be like a sauce, so be good to mix everything thoroughly.  i use a double boiler for this.  i put a lid on so you can add your sauce to the sauce when you mix the wine. 


",Tex-Mex Sauce
38,"beef stock bouillon,baking potato",," 1 1/2 pounds lean ground beef | 1 tablespoon minced garlic clove | 1 package tomato paste | 1 cup beef stock or 1 cup vegetable broth | 2 cans chickpeas, drained | 4 1/2 tablespoons cinnamon | 1 can tomato juice | 1 teaspoon black peppercorns "," place the ground beef with the garlic and tomato paste in a slow cooker.  cover with enough water to cover beef, and let rest in the refrigerator for 30 minutes.  stir the beef into the tomato paste in the slow cooker to coat.  stir in the beef stock or vegetable broth.  cook on high about 3 hours or on low on high 15 hours before serving.  to prepare the potatoes, stir together the cinnamon, tomato juice, black peppercorns, and tomato juice.  set vegetables aside for garnish.  preparation time includes time to prepare the potato mixture.  cover the pot with tightfitting lid, and bring to a boil over medium heat.  simmer the potatoes until the potatoes are tender and the liquid has evaporated, about 5 minutes.  meanwhile, heat oven to 350 degrees f 175 degrees c.  place the potatoes between two layers of aluminum foil and bake in the preheated oven until potatoes are tender and the liquid has evaporated, about 50 minutes.  cut into squares.  store in an airtight container. 


",Crock Pot Beef Hash Browns
39,"mushroom,spanish onion,flat rice noodle,yeast,kumara,polenta",," 1 cup polenta | 1/2 teaspoon salt and pepper | 3 eggs | 1 cup mushroom, sliced | 1/2 teaspoon dry yeast | 1 tablespoon fresh oregano | 1 1/2 cups all-purpose flour | salt and pepper, to taste | 4 cups short-grain uncooked short-grain rice noodles "," sift 2 tblsrs.  of the yeast, then add 3 cups boiling water ; shake until dissolved.  gradually add 14 cup of the hot water, until the yeast has dissolved.  set aside.  bring 2 cups of the boiling water to a boil in a saucepan.  drop in the noodles.  as soon as they float to the surface, drop the noodles by the inch onto a baking sheet.  allow 4 minutes to set, then drain on paper towels.  in the same skillet, saut the mushrooms, stirring occasionally, until cooked through.  add 1 tbls.  of the oregano and cook until it is fragrant and slightly melted.  drain liquid.  in a medium bowl, mix together 1 tbls.  of the flour, the remaining 12 tbls.  of the melted mixture, and the salt and pepper.  mix in the bread noodles.  season with salt and pepper mixture, and stir together well.  bake in a 350 degree f oven 10 minutes, or until the top is golden brown and puffy.  cool 10 minutes before serving. 


",Easy Italian Fried Rice Casserole
40,"yukon gold potato,cornstarch,chicken meat,white flour,dark rum",, 5 lbs chicken meat | 1 can cornstarch | 2 teaspoons dark rum ( or to taste ) ( optional ) | 5 yukon gold potatoes ," trim the excess skin off the potatoes and place in a crock pot.  in saucepan over medium heat, combine the cornstarch, rum and potato.  cook over high heat, stirring, for 15 minutes.  strain, and set aside.  while potatoes are cooking, combine the butter in a small saucepan over medium heat and stir in the butter to make a soft, buttery sauce.  cook, stirring constantly, until butter is absorbed in the mixture and sugar is fragrant, about 30 minutes.  remove from heat, and pour onto the pot of chicken meat.  cook until chicken meat is cooked through, about 40 more minutes.  serve with ice cream or ice cream curd.  note this does not include this recipe which you bought with frozen potatoes. 


",Chilled Chicken Gravy With Potatoes
41,"cocoa,hoisin sauce,self rising flour,bacon grease,risotto rice,farina,lemon juice zest,mexican seasoning",," 2 tablespoons cornstarch | 4 inches square bacon grease, cut in strips | 4 -5 tablespoons cornstarch | 2 tablespoons soy sauce | 1/2 teaspoon mexican seasoning ( to taste ) | 2/3 cup selfrising flour | 6 ounces hoisin sauce ( to taste ) | 1 cup shredded mexican-style thin bread | 2 lemons, juice and zest of "," preheat oven to 180c.  line a baking sheet with foil and line the foil with a large sheet of foil.  place about 12 of the cornstarch mixture in the centre of each foil pastry, roll, cut side down, and place on the prepared baking sheet.  bake for 1215 minutes, or until golden and slightly browned, stirring each time.  cool completely, cut, and serve. 


",Rice With Mango and Fudge and Fingers 
42,"orange juice zest,corn oil,amaretto,green chili,chili oil,lemon zest",," 3 tablespoons corn oil | 1/2 cup lemons, zest of | 2 teaspoons fresh lime juice | 1 1/2 teaspoons sugar | 1 teaspoon cream | 1 teaspoon finely grated coconut ( about 1 tbls.
    - ) | 1/3 teaspoon finely minced fresh chili | 1/2 teaspoon finely minced fresh orange zest | 1 cup canned pineapple, julienned | 1 cup frozen pecans, chopped | 1 cup frozen mandarin orange juice, drained "," in a large mixing bowl, combine corn oil and lemon, zest, sugar, cream, and pineapple, stirring with a whisk or whisk until smooth.  season with salt and pepper.  add orange zest, pineapple, pecans, mandarin oranges, and remaining lemon mixture, and stir with a whisk.  mix well.  pour mixture into two greased, heavy 9x13 inch baking dishes.  bake in 375 degree oven about 35 minutes or until internal temperature reaches 305 degrees.  set aside.  sprinkle with reserved orange zest. 


",Moroccan Chicken
43,"mexican cheese,guacamole,miso,pancetta",," 6 ounces mild miso ( not spicy or hot ) | 6 ounces mexican cheese ( see note ) | 2 inches pancetta, sliced into thin strips | 1/2 cup guacamole ( optional ) "," cook miso, cheese, pancetta and guacamole in a small heatproof casserole.  pour over top and cover.  cook at 325 until casserole is almost firm.  about 6 minutes. 


",Guacamole
44,"beer,purpose flour,rose water,cherry preserve,banana,hot red pepper flake,asparagus,whipping cream",," 2 cups all-purpose flour | 1 pinch hot red pepper flakes, or more to taste | 3 cups all-purpose flour, plus additional for dusting | 2 1/2 cans peeled and diced hot red peppers, or more to taste | 2 1/2 cups beer | 1/4 cup chilled cherries or 1/4 cup orange blossom, cut in half | 1 cup whipping cream | 4 bananas, mashed | 1/4 cup chopped fresh rose water ( about 1/2 cup ) "," in a large bowl, stir together the flour with hot red pepper flakes, beer, cherries, cream and chopped rose water.  add the mashed banana slices and mash until smooth and creamy ; pour into a greased 9inch tart pan.  pour in the batter and bake at 375 degrees for about 50 minutes or until a toothpick inserted in the center comes out clean.  cut into bars and serve immediately. 


",Fresh Creme Brulee
45,"beer,seasoning salt,curry paste,pepper flake,pinot grigio wine,yellow onion,pistachio,fettuccine",," 1 1/2 lbs fettuccine | 3 cups hot water | 1/3 cup pistachios, chopped | 2 teaspoons hot pepper flakes | 1 teaspoon grated nutmeg | 1 dash seasoning salt | 1/2 medium yellow onion, sliced | 2 tablespoons curry paste | 1/2 cup sprite wine "," cook the fettuccine in boiling salted water until tender, about 20 minutes.  drain and keep warm.  when cool, break the fettuccine into four smaller pieces.  arrange in a baking dish or a crock pot with sauce.  add the fettuccine, pistachios, hot pepper flakes and seasoned salt and stir into the tomato mixture.  cover and cook over low heat until thickened and bubbling, 1 - 12 to 2 hours.  set aside to cool, before serving.  top with onion, if you like a bit of colour to the onion, add a few small spoonfuls of the tomato paste.  serve warm. 


",Pistachio and Onion Bake
